Sampling,Target,RMS_065/RMS_baseline,Strict RMS Monotonic,Strict Mean Monotonic,Strict P95 Monotonic
1min,CHL_POW_1,1.12649083646583,True,True,True
1min,CT_SW_TEMP_1,5.5950935709265925,True,True,True
1min,CHL_SW_TEMP_1,1.2570435717109674,True,False,True
1min,CHL_RWCD_TEMP_1,4.085998755204283,True,True,True
15min,CHL_POW_1,1.2012646211008644,True,True,True
15min,CT_SW_TEMP_1,5.861620660953254,True,True,True
15min,CHL_SW_TEMP_1,1.1854099641085345,True,False,True
15min,CHL_RWCD_TEMP_1,4.332694333627549,True,True,True
1h,CHL_POW_1,1.5076081654404276,True,True,True
1h,CT_SW_TEMP_1,9.034298235504144,True,True,True
1h,CHL_SW_TEMP_1,1.5715711977619256,True,False,True
1h,CHL_RWCD_TEMP_1,6.909695282031009,True,True,True
2h,CHL_POW_1,1.575577825310799,True,True,True
2h,CT_SW_TEMP_1,8.981936124835086,True,True,True
2h,CHL_SW_TEMP_1,1.6874434924642858,False,False,True
2h,CHL_RWCD_TEMP_1,6.889997828069109,True,True,True
