Sampling,Target,Dataset,Residual Mean,Residual RMS,Residual P95
1min,CHL_POW_1,Baseline,0.06826492753500717,7.792648005138013,6.6814840102472655
1min,CHL_POW_1,095,0.10487856357189793,7.828360417698658,6.859371050456326
1min,CHL_POW_1,080,0.30978572107519053,8.135924189971123,7.932773804165044
1min,CHL_POW_1,065,0.77030559705295,8.778346569591701,10.498174066796096
1min,CT_SW_TEMP_1,Baseline,0.0018344539924619986,0.27819030302745906,0.3506701114746121
1min,CT_SW_TEMP_1,095,0.13199021816274778,0.33371238522478347,0.510948032812497
1min,CT_SW_TEMP_1,080,0.6040680389312915,0.7987061906182912,1.366501543298346
1min,CT_SW_TEMP_1,065,1.2556978388250633,1.556500775963057,2.758864971557613
1min,CHL_SW_TEMP_1,Baseline,0.0016644831203709279,0.16925249345462426,0.18530678682861562
1min,CHL_SW_TEMP_1,095,0.0013622256845152324,0.18168317967072345,0.19489734798583733
1min,CHL_SW_TEMP_1,080,0.0010004094995652362,0.1869746969390507,0.1955755544433586
1min,CHL_SW_TEMP_1,065,0.00045882255468249975,0.21275775889318801,0.2017603357055681
1min,CHL_RWCD_TEMP_1,Baseline,0.002640732930183408,0.27878195057465566,0.34487873671874564
1min,CHL_RWCD_TEMP_1,095,0.034137415024641266,0.30223125700136133,0.4987208476562414
1min,CHL_RWCD_TEMP_1,080,0.19755719005552283,0.5603616957846215,1.248930509765622
1min,CHL_RWCD_TEMP_1,065,0.4996215186520179,1.1391027030214649,2.4765250875732403
15min,CHL_POW_1,Baseline,0.07338617402471558,6.38478558745912,6.963435280011261
15min,CHL_POW_1,095,0.11237965147653348,6.572151048191617,7.166431581644087
15min,CHL_POW_1,080,0.31129577188151997,6.948879507770222,8.074836672766514
15min,CHL_POW_1,065,0.7797387302318539,7.66981703952934,10.655485632553965
15min,CT_SW_TEMP_1,Baseline,0.004607568247062141,0.26480948421101647,0.339935619401043
15min,CT_SW_TEMP_1,095,0.1366437318406364,0.3208205404893363,0.49751534947102627
15min,CT_SW_TEMP_1,080,0.6093467834798789,0.7947080530483059,1.3576440131347702
15min,CT_SW_TEMP_1,065,1.2587873800112255,1.5522127438676687,2.7339619674967466
15min,CHL_SW_TEMP_1,Baseline,0.0017796732880278616,0.15535375925350148,0.1883385637735966
15min,CHL_SW_TEMP_1,095,0.0018476308862142587,0.1776668247210698,0.19860425017903616
15min,CHL_SW_TEMP_1,080,0.0015728783105817578,0.1808338212592074,0.20076212480875633
15min,CHL_SW_TEMP_1,065,0.004431489196709267,0.1841578941808191,0.20891285880533772
15min,CHL_RWCD_TEMP_1,Baseline,0.002259351032971506,0.26083101641436035,0.3202469924235025
15min,CHL_RWCD_TEMP_1,095,0.035263463783448114,0.2862863406862926,0.48154185167643604
15min,CHL_RWCD_TEMP_1,080,0.19941789609873353,0.5513554678091895,1.222672468961587
