Sampling,Target,Sensitivity,Retention Ratio
1min,CHL_POW_1,0.12649083646582984,1.0
1min,CT_SW_TEMP_1,4.5950935709265925,1.0
1min,CHL_SW_TEMP_1,0.2570435717109674,1.0
1min,CHL_RWCD_TEMP_1,3.0859987552042827,1.0
15min,CHL_POW_1,0.20126462110086435,1.5911399333281653
15min,CT_SW_TEMP_1,4.861620660953254,1.0580025381230522
15min,CHL_SW_TEMP_1,0.18540996410853453,0.7213172571264249
15min,CHL_RWCD_TEMP_1,3.332694333627549,1.0799402715270816
1h,CHL_POW_1,0.5076081654404276,4.013003468259558
1h,CT_SW_TEMP_1,8.034298235504144,1.748451497557653
1h,CHL_SW_TEMP_1,0.5715711977619254,2.2236354480968252
1h,CHL_RWCD_TEMP_1,5.909695282031009,1.9150024840628321
2h,CHL_POW_1,0.5755778253107989,4.55035195744227
2h,CT_SW_TEMP_1,7.9819361248350855,1.737056275706164
2h,CHL_SW_TEMP_1,0.6874434924642859,2.674423981461328
2h,CHL_RWCD_TEMP_1,5.889997828069109,1.9086196383378682
