feature,mutual_information
CHL_SW_TEMP_2,4.3433311295595525
CHL_SW_TEMP_3,4.343172278772206
CHL_RW_TEMP_3,4.258556055969836
CHL_RW_TEMP_2,4.258375034015597
CHL_SWCD_TEMP_3,3.987036487397111
CHL_SWCD_TEMP_2,3.9870214686780727
CHL_RWCD_TEMP_1,3.813570154979642
CDWL_SW_TEMP,3.4094006792532294
CHL_COMP_SPD_CTRL_1,3.2301484452031257
CHL_SWCD_TEMP_1,2.652630668697742
CDWL_RW_TEMP,2.644946047895238
CT_RW_TEMP_1,2.5936390307431765
CHL_RWCD_TEMP_2,0.8819639100219554
CHL_RWCD_TEMP_3,0.8819439363108916
CT_FLOW_3,0.842340155723373
CT_FLOW_2,0.8423031540662533
CDWL_PM_POW_1,0.8410003539948416
CWL_SEC_PM_SPD_1,0.7359793306563782
CWL_SEC_CW_FLOW,0.7235093854742578
CWL_SEC_PM_POW_1,0.5507301240310474
