Rank,Target,Window,Sensitivity_Score
1,CT_SW_TEMP_1,6h,6.430140708478143
2,CT_SW_TEMP_1,12h,6.14984937120658
3,CT_SW_TEMP_1,24h,5.990796415059886
4,CT_SW_TEMP_1,48h,5.8651880481676715
5,CHL_RWCD_TEMP_1,48h,2.8538588157208493
6,CHL_RWCD_TEMP_1,24h,2.8160961215802494
7,CHL_RWCD_TEMP_1,12h,2.7364726516086972
8,CHL_RWCD_TEMP_1,6h,2.687792271281885
9,CHL_SW_TEMP_1,48h,0.13430934504927627
10,CHL_POW_1,48h,0.12462747149611572
11,CHL_POW_1,24h,0.1201407019536525
12,CHL_SW_TEMP_1,24h,0.1192757534029469
13,CHL_POW_1,12h,0.11146331485559104
14,CHL_SW_TEMP_1,12h,0.10781108049384402
15,CHL_POW_1,6h,0.10573135076598005
16,CHL_SW_TEMP_1,6h,0.09927483121970822
