feature,importance
CHL_COMP_SPD_CTRL_1,0.46035832
CWL_PRI_CW_FLOW,0.24295841
CWL_SEC_LOAD,0.19789913
CHL_SWCD_TEMP_1,0.01999739
CHL_CD_FLOW_2,0.01872347
CT_FLOW_2,0.016785372
CT_POW_1,0.014054865
CT_RW_TEMP_1,0.005737964
CT_FAN_SPD_1,0.0049709748
CWL_PRI_RW_TEMP,0.003963448
CHL_COMP_SPD_CTRL_2,0.0037342198
CWL_SEC_SW_TEMP,0.0028771127
CDWL_RW_TEMP,0.0016684623
CT_SW_TEMP_1,0.000931357
CT_SW_TEMPSPT,0.00072683464
CWL_SEC_CW_FLOW,0.00055626786
CT_POW_2,0.0005121227
CWL_PRI_SW_TEMPSPT,0.00039038714
CWL_SEC_PM_SPD_1,0.00036748574
CWL_PRI_SW_TEMP,0.00026795844
